name,team,result
270,tsv ost wilde pferde,4.5
268,tsv ost wilde pferde,4
266,tsv ost wilde pferde,3.5
264,tsv ost wilde pferde,3
267,tsv ost wilde pferde,3
269,tsv ost wilde pferde,2
265,tsv ost wilde pferde,2.5
250,juniorproffessur fur kickstart kompetenz,5
251,juniorproffessur fur kickstart kompetenz,4
252,juniorproffessur fur kickstart kompetenz,2
253,juniorproffessur fur kickstart kompetenz,3
254,juniorproffessur fur kickstart kompetenz,2
255,juniorproffessur fur kickstart kompetenz,3
256,juniorproffessur fur kickstart kompetenz,3
160,geisenfeld,3
161,geisenfeld,3.5
162,geisenfeld,3.5
163,geisenfeld,4
164,geisenfeld,4
165,geisenfeld,3.5
166,geisenfeld,4
168,geisenfeld,4
257,startblock stipendiaten,2.5
258,startblock stipendiaten,3
259,startblock stipendiaten,3.5
260,startblock stipendiaten,2.5
261,startblock stipendiaten,2.5
262,startblock stipendiaten,2
263,startblock stipendiaten,1.5
